med_group,concept_id
Systemic glucocorticoids,35412750
Systemic glucocorticoids,35602969
Systemic glucocorticoids,35602973
Systemic glucocorticoids,35604712
Systemic glucocorticoids,35604770
Systemic glucocorticoids,35604773
Systemic glucocorticoids,35604854
Systemic glucocorticoids,35604856
Systemic glucocorticoids,36212125
Systemic glucocorticoids,36212126
Systemic glucocorticoids,36212132
Systemic glucocorticoids,36212133
Systemic glucocorticoids,36212134
Systemic glucocorticoids,36212136
Systemic glucocorticoids,36212139
Systemic glucocorticoids,36212140
Systemic glucocorticoids,36212141
Systemic glucocorticoids,36212142
Systemic glucocorticoids,36212148
Systemic glucocorticoids,36212149
Systemic glucocorticoids,36212150
Systemic glucocorticoids,36212151
Systemic glucocorticoids,36212153
Systemic glucocorticoids,36212154
Systemic glucocorticoids,36212155
Systemic glucocorticoids,36212157
Systemic glucocorticoids,36212937
Systemic glucocorticoids,36213939
Systemic glucocorticoids,36213940
Systemic glucocorticoids,36213942
Systemic glucocorticoids,36213946
Systemic glucocorticoids,36214279
Systemic glucocorticoids,36214680
Systemic glucocorticoids,36215046
Systemic glucocorticoids,36215047
Systemic glucocorticoids,36215259
Systemic glucocorticoids,36215510
Systemic glucocorticoids,36216745
Systemic glucocorticoids,36218218
Systemic glucocorticoids,36218219
Systemic glucocorticoids,36218220
Systemic glucocorticoids,36218391
Systemic glucocorticoids,36218430
Systemic glucocorticoids,36218586
Systemic glucocorticoids,36218845
Systemic glucocorticoids,36220337
Systemic glucocorticoids,36220754
Systemic glucocorticoids,36220757
Systemic glucocorticoids,36220761
Systemic glucocorticoids,36220905
Systemic glucocorticoids,36220910
Systemic glucocorticoids,36221048
Systemic glucocorticoids,36221514
Systemic glucocorticoids,36221517
Systemic glucocorticoids,36221520
Systemic glucocorticoids,36221522
Systemic glucocorticoids,36221524
Systemic glucocorticoids,36221525
Systemic glucocorticoids,36221531
Systemic glucocorticoids,36222080
Systemic glucocorticoids,36222419
Systemic glucocorticoids,36222420
Systemic glucocorticoids,36222421
Systemic glucocorticoids,36222422
Systemic glucocorticoids,36222423
Systemic glucocorticoids,36222429
Systemic glucocorticoids,36222452
Systemic glucocorticoids,36223094
Systemic glucocorticoids,36223095
Systemic glucocorticoids,36223168
Systemic glucocorticoids,36223169
Systemic glucocorticoids,36223170
Systemic glucocorticoids,36223172
Systemic glucocorticoids,36223383
Systemic glucocorticoids,36225304
Systemic glucocorticoids,36227858
Systemic glucocorticoids,36228071
Systemic glucocorticoids,36228072
Systemic glucocorticoids,36228082
Systemic glucocorticoids,36228084
Systemic glucocorticoids,36228355
Systemic glucocorticoids,36228356
Systemic glucocorticoids,36228358
Systemic glucocorticoids,36228359
Systemic glucocorticoids,36228360
Systemic glucocorticoids,36228365
Systemic glucocorticoids,36229130
Systemic glucocorticoids,36229136
Systemic glucocorticoids,36229262
Systemic glucocorticoids,36229567
Systemic glucocorticoids,36229948
Systemic glucocorticoids,36229949
Systemic glucocorticoids,36229950
Systemic glucocorticoids,36229953
Systemic glucocorticoids,36229969
Systemic glucocorticoids,36230201
Systemic glucocorticoids,36231004
Systemic glucocorticoids,36231066
Systemic glucocorticoids,36231067
Systemic glucocorticoids,36231211
Systemic glucocorticoids,36231213
Systemic glucocorticoids,36231254
Systemic glucocorticoids,36231646
Systemic glucocorticoids,36231647
Systemic glucocorticoids,36231961
Systemic glucocorticoids,36231986
Systemic glucocorticoids,36231991
Systemic glucocorticoids,36232123
Systemic glucocorticoids,36232779
Systemic glucocorticoids,36233621
Systemic glucocorticoids,36233622
Systemic glucocorticoids,36233624
Systemic glucocorticoids,36233795
Systemic glucocorticoids,36233799
Systemic glucocorticoids,36234103
Systemic glucocorticoids,36234399
Systemic glucocorticoids,36234400
Systemic glucocorticoids,36234401
Systemic glucocorticoids,36234403
Systemic glucocorticoids,36234404
Systemic glucocorticoids,36234405
Systemic glucocorticoids,36234745
Systemic glucocorticoids,36234834
Systemic glucocorticoids,36234835
Systemic glucocorticoids,36235052
Systemic glucocorticoids,36235053
Systemic glucocorticoids,36235057
Systemic glucocorticoids,36235058
Systemic glucocorticoids,36235059
Systemic glucocorticoids,36235063
Systemic glucocorticoids,36235607
Systemic glucocorticoids,36236144
Systemic glucocorticoids,36236145
Systemic glucocorticoids,36236219
Systemic glucocorticoids,36236664
Systemic glucocorticoids,36236665
Systemic glucocorticoids,36236666
Systemic glucocorticoids,36236667
Systemic glucocorticoids,36236778
Systemic glucocorticoids,36236788
Systemic glucocorticoids,36236789
Systemic glucocorticoids,36236790
Systemic glucocorticoids,36237398
Systemic glucocorticoids,36237399
Systemic glucocorticoids,36237599
Systemic glucocorticoids,36238499
Systemic glucocorticoids,36238550
Systemic glucocorticoids,36238587
Systemic glucocorticoids,36238663
Systemic glucocorticoids,36239075
Systemic glucocorticoids,36239207
Systemic glucocorticoids,36239259
Systemic glucocorticoids,36239372
Systemic glucocorticoids,36239408
Systemic glucocorticoids,36239465
Systemic glucocorticoids,36239689
Systemic glucocorticoids,36239987
Systemic glucocorticoids,36240070
Systemic glucocorticoids,36240076
Systemic glucocorticoids,36240216
Systemic glucocorticoids,36240251
Systemic glucocorticoids,36240559
Systemic glucocorticoids,36241140
Systemic glucocorticoids,36241141
Systemic glucocorticoids,36241229
